Title,Year,Duration,Rating
. Ajuste Final,1990,1h 55m,"7,7"
. O Último Imperador,1987,2h 43m,"7,7"
. A Grande Beleza,2013,2h 21m,"7,7"
. O Substituto,2011,1h 38m,"7,7"
. O Homem de Lugar Nenhum,2010,1h 59m,"7,7"
. Depois do Vendaval,1952,2h 9m1,"7,7"
. Porco Rosso - O Último Herói Romântico,1992,1h 34m,"7,7"
. Perfeitos Desconhecidos,2016,1h 36m,"7,7"
. Zulu,1964,2h 18m,"7,7"
. Paixões em Fúria,1948,1h 40m,"7,7"
. Ray,2004,2h 32m,"7,7"
. Beasts of No Nation,2015,2h 17m,"7,7"
. Um Clarão nas Trevas,1967,1h 48m,"7,7"
. Hamlet,1996,4h 2m1,"7,7"
. Fantasia,1940,2h 4mL,"7,7"
. Nebraska,2013,1h 55m,"7,7"
. Um Homem Chamado Ove,2015,1h 56m,"7,7"
. Em Busca da Terra do Nunca,2004,1h 46m,"7,7"
. O Veredicto,1982,2h 9m1,"7,7"
. Narciso Negro,1947,1h 41m,"7,7"
. Kubo e as Cordas Mágicas,2016,1h 41m,"7,7"
. Planeta Fantástico,1973,1h 12m,"7,7"
. Uma Aventura na África,1951,1h 45m,"7,7"
. Preso na Escuridão,1997,1h 59m,"7,7"
. Waking Life,2001,1h 39m,"7,7"
. Acossado,1960,1h 30m,"7,7"
. Paixão dos Fortes,1946,1h 37m,"7,7"
. Nunca Deixe de Lembrar,2018,3h 9m1,"7,7"
". Hedwig: Rock, Amor e Traição",2001,1h 35m,"7,7"
. Sonhos,1990,1h 59m,"7,7"
. Fervura Máxima,1992,2h 8m1,"7,7"
. Meu Jantar com André,1981,1h 50m,"7,7"
. O Homem que Não Vendeu sua Alma,1966,2hLivr,"7,7"
. A Dupla Vida de Véronique,1991,1h 38m,"7,7"
. Uma Noite Sobre a Terra,1991,2h 9mR,"7,7"
. Scarface: A Vergonha de uma Nação,1932,1h 33m,"7,7"
. As Bicicletas de Belleville,2003,1h 20m,"7,7"
. Confissões,2010,1h 46m,"7,7"
. O Homem que Queria ser Rei,1975,2h 9mP,"7,7"
. A Mulher Oculta,1938,1h 36m,"7,7"
. Frost/Nixon,2008,2h 2m1,"7,7"
". Adeus, Lenin!",2003,2h 1m1,"7,7"
. Evil - Raízes do Mal,2003,1h 53m,"7,7"
. Círculo do Medo,1962,1h 46m,"7,7"
. Alabama Monroe,2012,1h 51m,"7,7"
. Daunbailó,1986,1h 47m,"7,7"
. Diários de Motocicleta,2004,2h 6m1,"7,7"
. Gosto de Cereja,1997,1h 35m,"7,7"
. Jules e Jim - Uma Mulher para Dois,1962,1h 45m,"7,7"
. Os Inocentes,1961,1h 40m,"7,7"
. O Diabo a Quatro,1933,1h 9mL,"7,7"
. O Apartamento,2016,2h 4m1,"7,7"
. A Experiência,2001,2h18,"7,7"
. Como Era Verde o Meu Vale,1941,1h 58m,"7,7"
. Terra de Sonhos,2002,1h 45m,"7,7"
. Em Nome de Deus,2002,1h 54m,"7,7"
. A Garota que Conquistou o Tempo,2006,1h 38m,"7,7"
. Zona de Risco,2000,1h 50m,"7,7"
. Entre o Bem e o Mal,2005,1h 34m,"7,7"
. Depois do Casamento,2006,2h12,"7,7"
. A Aventura,1960,2h 24m,"7,7"
. A Rosa Púrpura do Cairo,1985,1h 22m,"7,7"
. A Ganha-Pão,2017,1h 34m,"7,7"
. Fogos de Artifício,1997,1h 43m,"7,7"
. Do Outro Lado,2007,2h 2mN,"7,7"
. O Passado,2013,2h 10m,"7,7"
. Zelig,1983,1h 19m,"7,7"
. Vicky Donor,2012,2h 6mN,"7,7"
. Deadpool 2,2018,1h 59m,"7,6"
. Furiosa: Uma Saga Mad Max,2024,2h 28m,"7,6"
. Era Uma Vez em... Hollywood,2019,2h 41m,"7,6"
. Harry Potter e a Pedra Filosofal,2001,2h 32m,"7,6"
. Assassinos da Lua das Flores,2023,3h 26m,"7,6"
. Aftersun,2022,1h 42m,"7,6"
. O Quinto Elemento,1997,2h 6mL,"7,6"
. 300,2006,1h 57m,"7,6"
. Watchmen: O Filme,2009,2h 42m,"7,6"
. Como Enlouquecer seu Chefe,1999,1h 29m,"7,6"
. Jogos Mortais,2004,1h 43m,"7,6"
. RoboCop: O Policial do Futuro,1987,1h 42m,"7,6"
. Meu Primo Vinny,1992,2h14,"7,6"
. A Baleia,2022,1h 57m,"7,6"
. O Preço da Verdade,2019,2h 6m1,"7,6"
. A Qualquer Custo,2016,1h 42m,"7,6"
. O Homem Que Mudou o Jogo,2011,2h 13m,"7,6"
. Star Wars: Episódio III - A Vingança dos Sith,2005,2h 20m,"7,6"
. Kung Fu Panda,2008,1h 32m,"7,6"
. Os Outros,2001,1h 41m,"7,6"
. Stardust - O Mistério da Estrela,2007,2h 7m1,"7,6"
. Minority Report: A Nova Lei,2002,2h 25m,"7,6"
. Efeito Borboleta,2004,1h 53m,"7,6"
. O Último dos Moicanos,1992,1h 52m,"7,6"
. O que Fazemos nas Sombras,2014,1h 26m,"7,6"
. Medo da Verdade,2007,1h 54m,"7,6"
. Um Sonho Possível,2009,2h 9m1,"7,6"
. Bravura Indômita,2010,1h 50m,"7,6"
. Meia-Noite em Paris,2011,1h 34m,"7,6"
. O Operário,2004,1h 41m,"7,6"
. Santos Justiceiros,1999,1h 48m,"7,6"
. Os Pássaros,1963,1h 59m,"7,6"
. Além da Linha Vermelha,1998,2h 50m,"7,6"
. Depois de Horas,1985,1h 37m,"7,6"
. Os Indomáveis,2007,2h 2m1,"7,6"
. Ponyo: Uma Amizade que Veio do Mar,2008,1h 41m,"7,6"
. Operação Invasão,2011,1h 41m,"7,6"
. Marcados para Morrer,2012,1h 49m,"7,6"
. A Família Mitchell e a Revolta das Máquinas,2021,1h 54m,"7,6"
. Três é Demais,1998,1h 33m,"7,6"
. Uma Lição de Amor,2001,2h 12m,"7,6"
". Corra, Lola, Corra",1998,1h 21m,"7,6"
. 50%,2011,1h 40m,"7,6"
. As Pontes de Madison,1995,2h 15m,"7,6"
. A Bela da Tarde,1967,1h 40m,"7,6"
. O Último Rei da Escócia,2006,2h 3m1,"7,6"
. 21 Gramas,2003,2h 4m1,"7,6"
. Barton Fink - Delírios de Hollywood,1991,1h 56m,"7,6"
. Juventude Transviada,1955,1h 51m,"7,6"
. Controle: A História de Ian Curtis,2007,2h 2m1,"7,6"
. Short Cuts - Cenas da Vida,1993,3h 8m1,"7,6"
. O Pequeno Príncipe,2015,1h 48m,"7,6"
0. Philomena,2013,1h 38m,"7,6"
